scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub,va_current_bn_rub,margin_cf_t,lambda_speed,gross_margin_premium_share,gross_margin_gain_bn_rub,net_margin_gain_cf_share,net_margin_gain_cf_bn_rub,gross_return_on_new_capital,net_return_on_new_capital_cf,cumulative_gross_margin_gain_bn_rub,cumulative_net_margin_gain_cf_bn_rub,cumulative_gross_return_on_capital,cumulative_net_return_on_capital_cf
Base,2025,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.005,0.005,-0.0978230906786185,-0.000489115453393,0.1024476397724678,0.8898910652809102,0.0711912852224728,0.8529127222194808,400.6662965878485,0.4331760658904722,0.6,29.18092782167459,29.18092782167459,22455.017039232367,0.8525567657933684,0.041953786192646635,0.00035595642611236397,7.99300761357739,0.00035595642611241374,7.9930076135785075,0.27391204496384997,0.2739120449638882,7.99300761357739,7.9930076135785075,0.27391204496384997,0.2739120449638882
Base,2026,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.01072125,0.00572125,-0.0978230906786185,-0.0010487858109381,0.1018879694149227,0.8898910652809102,0.0711912852224728,0.8548714068586174,400.6662965878485,0.4331760658904722,0.6,33.39027665995115,62.57120448162574,22455.017039232367,0.854123081011721,0.041953786192646635,0.0007632595666914365,17.13900657541332,0.000748325846896436,16.803669642957463,0.5132933383558971,0.5032503867544189,25.13201418899071,24.796677256535972,0.40165463326458445,0.3962953480273439
Base,2027,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0172585894697656,0.0065373394697656,-0.0978230906786185,-0.0016882885626859,0.1012484666631749,0.8898910652809102,0.0711912852224728,0.8552546342208365,400.6662965878485,0.4331760658904722,0.6,38.15312624260303,100.72433072422876,22455.017039232367,0.8540573681579399,0.041953786192646635,0.0012286611654796482,27.5896074062886,0.001197266062896607,26.88462984283796,0.7231283546951165,0.7046507715223006,52.72162159527931,51.681307099373925,0.5234248886659256,0.5130965550009083
Base,2028,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0247164061063087,0.0074578166365431,-0.0978230906786185,-0.002417835235787,0.1005189199900739,0.8898910652809102,0.0711912852224728,0.8557694879333277,400.6662965878485,0.4331760658904722,0.6,43.52520179564981,144.24953251987858,22455.017039232367,0.8540601250609575,0.041953786192646635,0.001759592716788691,39.51168443759923,0.0017093628723702237,38.38377242530456,0.9077886559402072,0.8818746574804136,92.23330603287855,90.06507952467848,0.6394010741086329,0.6243699924106644
Base,2029,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0332086498821017,0.0084922437757929,-0.0978230906786185,-0.0032485727687313,0.0996881824571295,0.8898910652809102,0.0711912852224728,0.8563524616195747,400.6662965878485,0.4331760658904722,0.6,49.56231053309601,193.8118430529746,22455.017039232367,0.8540600093984377,0.041953786192646635,0.0023641664656099395,53.08739826885295,0.0022924522211369425,51.47705368725613,1.0711243624003972,1.038633048652595,145.3207043017315,141.5421332119346,0.7498030151955728,0.7303069357492611
Base,2030,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0428584819509576,0.0096498320688559,-0.0978230906786185,-0.0041925491662364,0.0987442060596244,0.8898910652809102,0.0711912852224728,0.8570149876133488,400.6662965878485,0.4331760658904722,0.6,56.31821061851325,250.13005367148787,22455.017039232367,0.8540600142509184,0.041953786192646635,0.003051150412772825,68.51363450807466,0.0029549733624304464,66.35397720385343,1.2165449462194464,1.178197539927541,213.83433880980616,207.89611041578803,0.8548926275394669,0.8311520641531208
Base,2031,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0537974344125754,0.0109389524616177,-0.0978230906786185,-0.0052626313048184,0.0976741239210425,0.8898910652809102,0.0711912852224728,0.8577659502241891,400.6662965878485,0.4331760658904722,0.6,63.84175644543961,313.9718101169275,22455.017039232367,0.8540600140473384,0.041953786192646635,0.003829908497502929,86.0006605701291,0.003705936176850666,83.21685999748937,1.3470910789183395,1.3034863799307919,299.83499937993525,291.1129704132774,0.9549742674932266,0.9271946112132261
Base,2032,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0661639378099925,0.0123665033974171,-0.0978230906786185,-0.0064723608880413,0.0964643943378195,0.8898910652809102,0.0711912852224728,0.8586148317699454,400.6662965878485,0.4331760658904722,0.6,72.17320860930462,386.14501872623214,22455.017039232367,0.8540600140558794,0.041953786192646635,0.004710295768073128,105.7697717319062,0.004554817714065962,102.27850937994859,1.4654990926684432,1.4171257084275282,405.60477111184144,393.391479793226,1.0503949331000066,1.0187661648229922
Base,2033,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0801010587924628,0.0139371209824702,-0.0978230906786185,-0.0078357331377084,0.0951010220881524,0.8898910652809102,0.0711912852224728,0.8595714195301151,400.6662965878485,0.4331760658904722,0.6,81.33962428628212,467.4846430125143,22455.017039232367,0.8540600140555211,0.041953786192646635,0.005702497323116282,128.04967455675308,0.0055114054745939445,123.75870384212557,1.5742594790709967,1.5215057228017883,533.6544456685945,517.1501836353516,1.141544334439899,1.106239940424113
Base,2034,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0957532853744189,0.015652226581956,-0.0978230906786185,-0.0093668823179574,0.0935698729079034,0.8898910652809102,0.0711912852224728,0.8606455891787131,400.6662965878485,0.4331760658904722,0.6,91.3492988273113,558.8339418398256,22455.017039232367,0.8540600140555361,0.041953786192646635,0.00681679945007909,153.07134780455578,0.006585575123177034,147.8792016040851,1.6756707470073218,1.6188323665586,686.7257934731504,665.0293852394367,1.228854838724133,1.190030410554499
